"G","frac"
9566,0.10387818576166
9567,0.171786296204808
9568,0.139720311298474
9569,0.109339803406458
9570,0.0771885160443032
9571,0.100347278914958
9572,0.110332184904599
9573,0.0213240019014966
9574,0.0323272168912484
9575,0.157476099458388
9576,0.214412981638293
9577,0.146350264735597
9578,0.0931841912315008
9579,0.203756310279922
9580,0.214412981638293
9581,0.162724462745172
9582,0.0430905168453297
9583,0.00718441830962671
10285,0.0562868573900494
10286,0.503122148731453
10287,0.719372809697769
10288,0.767580734080395
10289,0.853225667619209
10290,0.992926536233793
10291,1
10292,0.98487874253832
10293,0.786301822731373
10294,0.835456964275057
10295,0.907859291168819
10296,0.998256440368931
10297,0.983199706080655
10298,0.903823293512222
10299,0.972812736024301
10300,1
10301,0.98992578125401
10302,1
10303,0.937022005465765
10304,0.892559597002587
10305,0.676691258669117
10306,0.379400820485365
10307,0.214690977117666
10308,0.0288514099948006
11006,0.139185731683919
11007,1
11008,1
11009,1
11010,1
11011,1
11012,1
11013,1
11014,1
11015,1
11016,1
11017,1
11018,1
11019,1
11020,1
11021,1
11022,1
11023,1
11024,1
11025,1
11026,0.984845886745726
11027,0.844527175760796
11028,0.752567654625031
11029,0.670328875908523
11030,0.587644717014087
11031,0.504515221669104
11032,0.420940433836624
11033,0.33692039771514
11034,0.188758449188529
11035,0.0339716172434585
11722,0.00177311549249365
11723,0.197103002487011
11724,0.352240573973858
11725,0.481414109528896
11726,0.66575679972642
11727,1
11728,1
11729,1
11730,1
11731,1
11732,1
11733,1
11734,1
11735,1
11736,1
11737,1
11738,1
11739,1
11740,1
11741,1
11742,0.987766644526756
11743,0.927550360786514
11744,0.916424233593276
11745,0.923690758981575
11746,0.914994902857541
11747,0.851040915271595
11748,0.74975142608266
11749,0.663743605465024
11750,0.539589072153682
11751,0.532527064719506
11752,0.492689999736298
11753,0.355978740646104
11754,0.234136159963973
11755,0.103152943028994
12443,0.0456915340650209
12444,0.289388201642525
12445,0.304744556116224
12446,0.319384257750997
12447,0.469386566452351
12448,0.548566910356075
12449,0.590414161856528
12450,0.618356073157135
12451,0.618356073157135
12452,0.618356073157135
12453,0.618356073157135
12454,0.639361715449774
12455,0.660367357742414
12456,0.660367357742414
12457,0.660367357742414
12458,0.660367357742414
12459,0.660367357742414
12460,0.6533654769782
12461,0.611386998271044
12462,0.498168263042439
12463,0.428813835268952
12464,0.327065902946876
12465,0.21735324224822
12466,0.118529144398681
12467,0.0168893517268476
16225,0.0102389176694358
16226,0.00512104677573037
18877,0.0333707998506667
18878,0.182247301634766
18879,0.307893468231002
18880,0.319655359350012
18881,0.303897648283076
18882,0.269108302727582
18883,0.241193730937773
19592,0.248277210026511
19593,0.444078750015661
19594,0.538076466027424
19595,0.512141577842351
19596,0.131081513180594
19597,0.713829708278727
19598,0.904006156749684
19599,1
19600,1
19601,1
19602,1
19603,0.915304946874188
19642,0.0915931656952069
19643,0.0562880956129852
20313,0.171689544326112
20314,0.302689426778768
20315,0.569710309138899
20316,0.678768752252855
20317,0.629082230675002
20318,0.702562412999949
20319,0.748591130656812
20320,0.683829230020791
20321,0.789342902362767
20322,0.894444216516115
20323,0.492387752196198
20324,0.566838149612677
20325,0.491905478739293
20326,0.0788396196190021
20361,0.0498836636484427
20362,0.221431404818948
20363,0.0172318818773442
21046,0.0240177862668726
22438,0.436094160027001
22439,0.797583677056051
22440,0.607826609125356
22441,0.458569871686126
22442,0.369335512490917
22443,0.294307645219192
22444,0.528153287659251
22445,0.236587323838522
22500,0.0545410822134504
22501,0.022870407846695
23152,0.0369184265499294
23153,0.10378048343789
23154,0.0176100792883404
23157,0.0349604947401081
23158,0.536747761210422
23159,1
23160,1
23161,1
23162,0.994866415192395
23163,1
23164,1
23165,0.238927007959113
23233,0.0879205923608946
23234,0.261542057564249
23235,0.42197284371467
23236,0.462049689384254
23237,0.427186610236715
23238,0.0791242068644065
23239,0.321796509365169
23240,0.470692374897703
23241,0.369765906874585
23242,0.279022307245414
23243,0.329676067386388
23244,0.331421927717161
23245,0.193250047714095
23246,0.0457515930448089
23871,0.246642657946204
23872,0.941649884118918
23873,1
23874,1
23875,0.934904842544975
23876,0.855966854301471
23877,0.507355398683427
23879,0.0822632586121648
23880,0.474081086425184
23881,1
23882,0.772805805072034
23883,0.454733932172881
23884,0.321547009748439
23951,0.0120447526019202
23952,0.0910037389143639
23953,0.194247412791164
23954,0.462481843069691
23955,0.973625994807739
23956,1
23957,1
23958,0.706876670292155
23959,0.542916969940032
23960,0.620575936718382
23961,0.991291105248588
23962,1
23963,1
23964,1
23965,1
23966,0.946790026227847
23967,0.546554388191597
23968,0.0965335649412991
24590,0.108488427441322
24591,0.772950235753331
24592,0.994853693059331
24593,1
24594,1
24595,1
24596,1
24597,0.51207944614289
24600,0.0274198323730137
24601,0.0822594971190409
24602,0.0651526325637096
24675,0.351743319995274
24676,0.700217293599255
24677,0.810378119432955
24678,0.538405794068024
24679,0.306341885776619
24680,0.0222959133100196
24681,0.382177752874691
24682,0.487811444834703
24683,0.345803686494829
24684,0.218075363652389
24685,0.206015083693537
24686,0.266344964995534
24687,0.333668147673729
24688,0.239291372551514
25309,0.230614197659221
25310,0.853670196121228
25311,1
25312,1
25313,1
25314,1
25315,0.996482439281716
25316,0.624664457853901
25317,0.0188654182397987
25403,0.208343761418449
25404,0.557837761770053
25405,0.520546095761976
25406,0.466818189220735
25407,0.390145247907406
25408,0.0104659894625915
26029,0.0445892402571997
26030,0.0223502007912615
26031,0.339096904475468
26032,0.515841870650129
26033,0.60112500133459
26034,0.368472055350616
26035,0.152867990756434
26124,0.0325868033787144
26125,0.261359435989837
26126,0.380698623127074
26127,0.229027400648177
27050,0.00175005759419297
27773,0.00173340483361685
27775,0.0332436419772049
27776,0.00174786166488787
27778,0.0122133549286921
27779,0.012298227772632
27780,0.0228395658634593
28191,0.00348102294531615
28480,0.00526896312640538
28486,0.00175632104213513
28487,0.00349508051843865
28489,0.211872122219115
28490,0.154022377829124
28491,0.012148418424788
28492,0.00518108798317918
28495,0.00171588182257135
28497,0.00344936652740646
28498,0.00173875370014307
28499,0.359428725368436
28500,0.683207075663108
28501,0.51318059654062
28502,0.153769471608074
28879,0.238228896216805
28880,0.191045028880913
28881,0.164781817509137
28882,0.120827497728403
28883,0.0209873228252953
28902,0.296061643471508
28903,0.40718388700797
28904,0.0333256342215117
28915,0.244855409072365
28916,0.377771656854877
28917,0.327235244428122
28918,0.155999496658535
28919,0.0175492506985527
29023,0.0174911425491139
29024,0.157293723820338
29025,0.172899089021391
29026,0.0488438195855477
29200,0.00351155877920809
29203,0.0280770928956298
29205,0.00172327668283583
29207,0.00864377915291795
29209,0.172091237148744
29210,0.158376967797614
29211,0.00692735202878062
29213,0.0191083760385851
29214,0.0171985023793373
29215,0.00693931158550956
29217,0.0034568274801765
29218,0.00346881067062535
29219,0.0156601110803579
29220,0.0122887471341133
29347,0.00344997883147811
29348,0.0155523023071753
29349,0.031265476134038
29350,0.00700261142754684
29569,0.0122818483850624
29570,0.0490758158300088
29571,0.0227535238514407
29572,0.0385425697433373
29599,1
29600,1
29601,1
29602,0.979380032810912
29603,0.660411641618733
29604,0.180157977759535
29609,0.015519192121649
29610,0.335342961781854
29611,0.0811298652786879
29623,0.0704612880983762
29624,0.123930015435506
29634,0.209233208194053
29635,0.891412390503129
29636,1
29637,1
29638,1
29639,0.618132239624014
29744,0.0120252555369614
29745,0.0137455330704508
29746,0.0343955331227665
29747,0.0172828267653205
29912,0.00173528347762668
29913,0.00173528347762668
