"ID_LUID","x","y","Area.1000ha"
1,-89,83,10.44
2,-87,83,27.84
3,-85,83,63.8
4,-83,83,62.64
5,-81,83,92.42
6,-79,83,125.03
7,-77,83,108.34
8,-75,83,106.7
9,-73,83,104.43
10,-71,83,106.21
11,-69,83,112.43
12,-67,83,79.84
13,-65,83,250.55
14,-63,83,181.76
15,-61,83,39.44
16,-59,83,19.72
17,-57,83,38.28
18,-55,83,100.94
19,-53,83,53.38
20,-51,83,30.17
21,-49,83,144.16
22,-47,83,63.14
23,-45,83,64.31
24,-43,83,33.64
25,-41,83,110.09
26,-39,83,71.27
27,-37,83,108.79
28,-35,83,254.76
29,-33,83,351.1
30,-31,83,310.04
31,-29,83,253.55
32,-27,83,325.09
33,-25,83,265.27
34,-23,83,155.24
35,-21,83,13.03
36,-99,81,10.2
37,-95,81,139.19
38,-93,81,420.54
39,-91,81,186.38
40,-89,81,352.63
41,-87,81,359.08
42,-85,81,301.19
43,-83,81,224.9
44,-81,81,221.23
45,-79,81,211.57
46,-77,81,245.77
47,-75,81,263.2
48,-73,81,221.2
49,-71,81,284.9
50,-69,81,304.31
51,-67,81,380.82
52,-65,81,365.6
53,-63,81,322.08
54,-61,81,413.64
55,-59,81,243.54
56,-57,81,237.96
57,-55,81,235.74
58,-53,81,170.99
59,-51,81,145.91
60,-49,81,135.12
61,-47,81,171.68
62,-45,81,50.62
63,-37,81,18.52
64,-35,81,114.82
65,-33,81,65.43
66,-31,81,125.53
67,-29,81,256.29
68,-27,81,510.81
69,-25,81,610.01
70,-23,81,529.2
71,-21,81,435.54
72,-19,81,315.42
73,-17,81,69.58
74,-15,81,88.54
75,-13,81,14.4
76,-113,79,42.05
77,-111,79,136.62
78,-109,79,48.24
79,-105,79,176.6
80,-103,79,350.22
81,-101,79,378.66
82,-99,79,102.34
83,-97,79,310.92
84,-95,79,154.83
85,-93,79,393.69
86,-91,79,348.27
87,-89,79,391.09
88,-87,79,557.07
89,-85,79,600.08
90,-83,79,794.79
91,-81,79,322.82
92,-79,79,257.08
93,-77,79,206.53
94,-75,79,219.69
95,-73,79,133.18
96,-71,79,184.28
97,-69,79,272.32
98,-67,79,190.62
99,-65,79,9.33
100,-63,79,16.85
101,-61,79,4.59
102,-25,79,55.13
103,-23,79,217.94
104,-21,79,243.94
105,-19,79,40.35
106,95,79,32.1
107,97,79,118.56
108,99,79,47.08
109,101,79,262.73
110,103,79,268.23
111,105,79,118.06
112,107,79,36.8
113,-123,77,87.95
114,-121,77,346.16
115,-119,77,440.91
116,-117,77,432.55
117,-115,77,294.38
118,-113,77,261.97
119,-111,77,249.48
