Model,Scenario,Region,Variable,Year,Unit,Value
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|ESHI,2005,unitless,1
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|ESHI,2010,unitless,1.00993830736198
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|ESHI,2010,unitless,1.08226001100979
