Model;Scenario;Region;Variable;Unit;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand;million t DM/yr;75.6208;81.5838;87.8503;99.971;133.4207;150.528;180.9636;251.7219;311.7026;321.0462;306.9231;315.5232;297.0064;277.6673;303.4247;329.1228;357.8895;361.8553;345.2391;337.0384;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Bioenergy;million t DM/yr;6e-04;3.5152;7.4978;17.1835;46.9815;75.9826;110.326;170.5954;224.5797;233.8951;218.4068;225.8704;206.8468;187.8232;214.3384;240.8535;270.7076;300.5617;294.2486;287.9355;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Bioenergy|1st generation;million t DM/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Bioenergy|2nd generation;million t DM/yr;6e-04;3.5152;7.4978;17.1835;46.9815;75.9826;110.326;170.5954;224.5797;233.8951;218.4068;225.8704;206.8468;187.8232;214.3384;240.8535;270.7076;300.5617;294.2486;287.9355;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Crops|Feed;million t DM/yr;18.7828;19.2599;19.4513;20.3642;23.6867;13.206;11.1467;22.9852;30.0458;31.0754;32.9924;34.7613;35.8165;36.2779;36.4057;36.3376;36.1186;11.461;2.3445;1.745;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Crops|Food;million t DM/yr;43.137;44.59;46.2351;47.6493;48.5424;48.4144;47.5626;46.5784;45.6874;44.8875;44.4396;43.9547;43.6167;43.37;43.1246;42.826;42.4022;41.8738;41.2384;40.4802;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Crops|Other;million t DM/yr;7.3106;7.543;7.7937;7.9599;7.9412;7.6616;7.41;7.349;7.3464;7.28;7.2029;7.0913;7.0999;6.9252;6.6916;6.6513;6.6123;6.5725;6.493;6.3051;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Feed;million t DM/yr;19.1009;19.6094;19.8374;20.7811;24.1159;13.5821;11.4982;23.3663;30.4451;31.4727;33.3951;35.167;36.2171;36.6668;36.78;36.6967;36.4618;11.7075;2.5464;1.9314;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Food;million t DM/yr;48.6761;50.3655;52.1521;53.4557;53.7569;52.7543;51.2046;49.8059;48.6798;47.7448;47.2527;46.7184;46.1606;45.5687;44.9328;44.243;43.4355;42.5369;41.552;40.4802;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Livestock|Feed;million t DM/yr;0.3181;0.3495;0.3861;0.4169;0.4292;0.3761;0.3515;0.3811;0.3993;0.3973;0.4027;0.4057;0.4006;0.3889;0.3743;0.359;0.3432;0.2465;0.2019;0.1864;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Livestock|Food;million t DM/yr;5.5391;5.7755;5.9171;5.8064;5.2144;4.3399;3.6419;3.2275;2.9924;2.8573;2.8131;2.7637;2.5439;2.1987;1.8082;1.4169;1.0333;0.6631;0.3136;0;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Livestock|Other;million t DM/yr;0.5326;0.5508;0.5693;0.5908;0.6253;0.5474;0.5248;0.6053;0.6515;0.6536;0.6655;0.6761;0.6819;0.6834;0.6819;0.6783;0.6723;0.4766;0.3991;0.3863;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Demand|Other;million t DM/yr;7.8433;8.0937;8.363;8.5507;8.5665;8.209;7.9348;7.9543;7.9979;7.9336;7.8684;7.7674;7.7819;7.6086;7.3735;7.3296;7.2846;7.0491;6.8921;6.6914;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Production;million t DM/yr;65.9262;71.0714;77.8047;89.6838;119.4954;142.6128;176.0089;243.988;305.4119;317.0961;300.2632;304.5804;294.2981;270.5369;286.7318;315.5319;348.7764;376.6523;372.187;363.1163;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Production|Crops|Energy;million t DM/yr;6e-04;3.5152;7.4978;17.1835;46.9815;75.9826;110.326;170.5954;224.5797;233.8951;218.4068;225.8704;206.8468;187.8232;214.3384;240.8535;270.7076;300.5617;294.2486;287.9355;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Production|Crops|Non-Energy;million t DM/yr;58.1506;59.23;61.4915;63.1365;62.479;58.9578;58.6904;64.1495;70.2227;72.4369;70.6922;67.2001;75.8288;71.1696;61.0248;63.5276;67.1687;70.4997;74.4494;72.0188;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Production|Crops|Non-Energy|Cereals;million t DM/yr;38.2176;38.9898;40.5158;41.932;41.9887;39.2542;39.7524;45.891;52.2453;54.9613;53.1243;51.1765;51.667;47.9191;46.4259;49.4753;53.669;57.5324;58.882;57.6214;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Agricultural Production|Livestock;million t DM/yr;7.775;8.3262;8.8154;9.3638;10.0349;7.6724;6.9925;9.243;10.6095;10.7641;11.1642;11.5099;11.6225;11.5441;11.3685;11.1507;10.9001;5.5909;3.4891;3.162;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Biodiversity|BII;unitless;0.1636;0.1636;0.1636;0.2161;0.2185;0.2215;0.2233;0.2235;0.2244;0.2255;0.225;0.225;0.2253;0.226;0.2266;0.2272;0.2276;0.2275;0.2279;0.2278;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Biodiversity|ESHI;unitless;1;0.9965;0.9929;3.191;3.2149;3.365;3.5093;3.5364;3.589;3.7129;3.7725;3.7725;3.8004;3.9014;3.9674;3.9826;3.9961;3.9968;4.035;4.0465;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Biodiversity|NPotSpeciesInRegion;number of species;185;185;185;185;185;185;185;185;185;185;185;185;185;185;185;185;185;185;185;185;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Biodiversity|NSpeciesExtinctAtFirstYear;number of species;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Biodiversity|RLI;unitless;0.9935;0.9838;0.9805;0.9978;0.9978;0.9978;0.9978;0.9978;0.9978;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|CH4|Land Use;Mt CH4/yr;5.545;5.7181;5.2846;5.0095;4.4062;3.9116;3.2542;3.081;2.7237;2.8259;2.4498;2.3761;2.2303;2.1028;1.9278;1.806;1.6453;1.5056;1.3645;1.2753;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|CH4|Land Use|Agricultural Waste Burning;Mt CH4/yr;0.1242;0.127;0.1323;0.1356;0.1324;0.1224;0.1189;0.1282;0.1385;0.1416;0.1377;0.1324;0.1497;0.1391;0.1178;0.1208;0.1253;0.1294;0.1361;0.1316;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|CH4|Land Use|Agriculture;Mt CH4/yr;4.6971;4.8699;4.4317;4.4274;3.8371;3.3652;2.722;2.5481;2.1891;2.0857;1.8977;1.8578;1.6964;1.5788;1.4339;1.3116;1.1478;1.006;0.8641;0.7797;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|CH4|Land Use|Agriculture|AWM;Mt CH4/yr;0.6697;0.6967;0.6225;0.6055;0.509;0.4201;0.3262;0.307;0.2565;0.245;0.2171;0.2106;0.191;0.1762;0.1541;0.1399;0.121;0.1006;0.0828;0.0734;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|CH4|Land Use|Agriculture|Enteric Fermentation;Mt CH4/yr;3.6122;3.7818;3.4918;3.524;3.0923;2.7483;2.2715;2.1339;1.8603;1.7827;1.6429;1.6;1.4735;1.3715;1.2424;1.1381;1.0036;0.8871;0.7676;0.6932;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|CH4|Land Use|Agriculture|Rice;Mt CH4/yr;0.4152;0.3915;0.3173;0.2979;0.2358;0.1968;0.1243;0.1072;0.0723;0.058;0.0377;0.0471;0.0319;0.0311;0.0374;0.0336;0.0233;0.0183;0.0137;0.0131;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|CH4|Land Use|Forest Burning;Mt CH4/yr;0.2153;0.2128;0.2123;0.3183;0.3221;0.328;0.3322;0.3322;0.3343;0.5474;0.3684;0.3399;0.3414;0.3444;0.3478;0.3487;0.3502;0.3495;0.352;0.3526;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|CH4|Land Use|Savannah Burning;Mt CH4/yr;0.5084;0.5084;0.5084;0.1283;0.1146;0.096;0.0811;0.0725;0.0619;0.0512;0.0461;0.0461;0.0428;0.0406;0.0282;0.0249;0.022;0.0207;0.0124;0.0114;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|CO2|Land Use;Mt CO2/yr;-13.259;-2.5199;-3.6532;-4.526;-2.7121;-5.6237;35.3137;91.7052;69.163;10.4673;-12.3271;-10.738;-37.1957;-61.9731;-28.6013;1.7111;3.569;2.8566;-1.851;-5.1575;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|N2O|Land Use;kt N2O/yr;285.6024;292.7029;232.4842;198.0028;185.3958;167.3029;153.459;157.735;176.1453;166.1202;142.3552;137.8756;131.5371;121.3957;111.9844;113.2987;113.231;112.5484;105.4872;99.1602;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|N2O|Land Use|Agricultural Waste Burning;kt N2O/yr;1.4112;1.4431;1.5029;1.5406;1.5049;1.3904;1.3517;1.4574;1.5736;1.6086;1.5645;1.504;1.7016;1.5803;1.3388;1.3724;1.4233;1.471;1.5466;1.4953;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|N2O|Land Use|Agriculture;kt N2O/yr;228.0271;235.1712;174.9091;172.9065;161.5052;145.0923;132.5636;137.5528;156.7836;141.2688;123.4497;119.8933;113.6198;103.7013;95.5951;97.1535;97.2644;96.6835;90.248;84.0499;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|N2O|Land Use|Agriculture|AWM;kt N2O/yr;53.7309;55.8367;40.0355;40.3084;37.4875;31.987;27.5658;25.9846;24.0865;22.2751;20.4985;19.3133;17.1235;15.3019;13.0375;11.3693;9.4947;7.1369;5.4689;4.5242;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|N2O|Land Use|Agriculture|Cropland Soils;kt N2O/yr;105.563;107.5403;88.3793;89.8155;87.5576;83.437;80.4883;90.1409;113.9533;102.2975;87.6788;86.2436;83.801;77.046;72.8573;77.2821;80.6187;83.4814;79.7791;75.2398;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|N2O|Land Use|Agriculture|Pasture;kt N2O/yr;68.7332;71.7943;46.4943;42.7826;36.4601;29.6683;24.5095;21.4274;18.7439;16.6962;15.2724;14.3363;12.6953;11.3535;9.7003;8.5021;7.151;6.0652;5;4.2858;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|N2O|Land Use|Forest Burning;kt N2O/yr;7.6346;7.5591;7.5452;11.3118;11.4456;11.6582;11.8056;11.8056;11.8797;18.3545;12.9423;12.0795;12.1324;12.2383;12.3612;12.3934;12.4408;12.4221;12.5082;12.5309;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Emissions|N2O|Land Use|Savannah Burning;kt N2O/yr;48.5294;48.5294;48.527;12.2439;10.9401;9.162;7.7381;6.9191;5.9084;4.8883;4.3988;4.3988;4.0833;3.8757;2.6893;2.3793;2.1025;1.9719;1.1845;1.0841;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;ANZ;Fertilizer Use|Nitrogen;Tg N/yr;1.7745;2.2761;2.2125;2.101;2.0254;1.9684;2.0235;2.2522;1.5771;2.1544;2.2414;2.1435;2.0643;1.7975;1.7912;2.0597;2.3488;2.8076;2.8168;2.7219;
