*file,reg,variable,year,val
SSP1p_20W_BIOD2,CAN,ESHI,2005,1
SSP1p_20W_BIOD2,USA,ESHI,2005,1
SSP1p_20W_BIOD2,BRA,ESHI,2005,1
SSP1p_20W_BIOD2,OSA,ESHI,2005,1
SSP1p_20W_BIOD2,FSU,ESHI,2005,1
SSP1p_20W_BIOD2,EUR,ESHI,2005,1
SSP1p_20W_BIOD2,MEN,ESHI,2005,1
SSP1p_20W_BIOD2,SSA,ESHI,2005,1
SSP1p_20W_BIOD2,CHN,ESHI,2005,1
SSP1p_20W_BIOD2,IND,ESHI,2005,1
SSP1p_20W_BIOD2,SEA,ESHI,2005,1
SSP1p_20W_BIOD2,OAS,ESHI,2005,1
SSP1p_20W_BIOD2,ANZ,ESHI,2005,1
SSP1p_20W_BIOD2,NAM,ESHI,2005,1
SSP1p_20W_BIOD2,OAM,ESHI,2005,1
SSP1p_20W_BIOD2,AME,ESHI,2005,1
SSP1p_20W_BIOD2,SAS,ESHI,2005,1
SSP1p_20W_BIOD2,WLD,ESHI,2005,1
SSP1p_20W_BIOD2,EUE,ESHI,2005,1
SSP1p_20W_BIOD2,CAN,RLI,2005,0.960655738
SSP1p_20W_BIOD2,USA,RLI,2005,0.908880309
SSP1p_20W_BIOD2,BRA,RLI,2005,0.983829787
SSP1p_20W_BIOD2,OSA,RLI,2005,0.966246851
SSP1p_20W_BIOD2,FSU,RLI,2005,0.88361204
SSP1p_20W_BIOD2,EUR,RLI,2005,0.930555556
SSP1p_20W_BIOD2,MEN,RLI,2005,0.881545064
SSP1p_20W_BIOD2,SSA,RLI,2005,0.960593792
SSP1p_20W_BIOD2,CHN,RLI,2005,0.953284672
SSP1p_20W_BIOD2,IND,RLI,2005,0.965151515
SSP1p_20W_BIOD2,SEA,RLI,2005,0.976759411
SSP1p_20W_BIOD2,OAS,RLI,2005,0.948611111
SSP1p_20W_BIOD2,ANZ,RLI,2005,0.92
SSP1p_20W_BIOD2,NAM,RLI,2005,0.917110266
SSP1p_20W_BIOD2,OAM,RLI,2005,0.970099668
