group,region,R106
1,Aruba,XCA
2,Afghanistan,XSA
3,Angola,XSS
5,Anguilla,XCA
6,Albania,XER
7,Finland,FIN
10,Andorra,XER
11,United Arab Emirates,ARE
17,Argentina,ARG
21,Armenia,XCI
24,American Samoa,XOC
25,Antarctica,-
133,Australia,AUS
134,French Southern and Antarctic Lands,-
137,Antigua,XCA
138,Barbuda,XCA
181,Austria,AUT
182,Azerbaijan,XCI
186,Burundi,XSS
187,Belgium,58
188,Benin,XSS
189,Burkina Faso,XSS
190,Bangladesh,BGD
197,Bulgaria,BGR
198,Bahrain,XME
199,Bahamas,XCA
214,Bosnia and Herzegovina,XYU
215,Saint Barthelemy,XCA
216,Belarus,BLR
217,Belize,XCA
220,Bermuda,XCA
221,Bolivia,XSM
222,Brazil,BRA
239,Barbados,XCA
240,Brunei,XSE
242,Bhutan,XSA
243,Botswana,XSS
244,Central African Republic,XSS
245,Canada,CAN
386,Switzerland,CHE
387,Chile,CHL
418,China,CHN
431,Ivory Coast,XSS
433,Cameroon,XSS
434,Democratic Republic of the Congo,XSS
435,Republic of Congo,XSS
436,Cook Islands,XOC
437,Colombia,COL
439,Comoros,XSS
442,Cape Verde,XSS
450,Costa Rica,CRI
451,Cuba,CUB
458,Curacao,XCA
459,Cayman Islands,XCA
462,Cyprus,XE10
464,Czech Republic,CZE
465,Germany,DEU
471,Djibouti,XSS
472,Dominica,XCA
473,Denmark,DNK
485,Dominican Republic,DOM
486,Algeria,DZA
487,Ecuador,ECU
496,Egypt,EGY
497,Eritrea,XSS
500,Canary Islands,XSS
507,Spain,ESP
512,Estonia,XBT
516,Ethiopia,XSS
525,Fiji,XOC
543,Falkland Islands,XSM
549,Reunion,XSS
550,Mayotte,XSS
551,French Guiana,XSM
552,Martinique,XCA
553,Guadeloupe,XCA
556,France,FRA
559,Faroe Islands,XER
564,Micronesia,XOC
569,Gabon,XSS
570,UK,GBR
593,Georgia,XCI
594,Guernsey,-
595,Ghana,XSS
596,Guinea,XSS
597,Gambia,XSS
598,Guinea-Bissau,XSS
605,Equatorial Guinea,XSS
607,Greece,GRC
647,Grenada,XCA
648,Greenland,-
665,Guatemala,GTM
