group,region,RISO
1,Aruba,ABW
2,Afghanistan,AFG
3,Angola,AGO
5,Anguilla,AIA
6,Albania,ALB
7,Finland,FIN
10,Andorra,AND
11,United Arab Emirates,ARE
17,Argentina,ARG
21,Armenia,ARM
24,American Samoa,ASM
25,Antarctica,-
133,Australia,AUS
134,French Southern and Antarctic Lands,-
137,Antigua,ATG
138,Barbuda,ATG
181,Austria,AUT
182,Azerbaijan,AZE
186,Burundi,BDI
187,Belgium,BEL
188,Benin,BEN
189,Burkina Faso,BFA
190,Bangladesh,BGD
197,Bulgaria,BGR
198,Bahrain,BHR
199,Bahamas,BHS
214,Bosnia and Herzegovina,BIH
215,Saint Barthelemy,-
216,Belarus,BLR
217,Belize,BLZ
220,Bermuda,BMU
221,Bolivia,BOL
222,Brazil,BRA
239,Barbados,BRB
240,Brunei,BRN
242,Bhutan,BTN
243,Botswana,BWA
244,Central African Republic,CAF
245,Canada,CAN
386,Switzerland,CHE
387,Chile,CHL
418,China,CHN
431,Ivory Coast,CIV
433,Cameroon,CMR
434,Democratic Republic of the Congo,COD
435,Republic of Congo,COG
436,Cook Islands,COK
437,Colombia,COL
439,Comoros,COM
442,Cape Verde,CPV
450,Costa Rica,CRI
451,Cuba,CUB
458,Curacao,CUW
459,Cayman Islands,CYM
462,Cyprus,CYP
464,Czech Republic,CZE
465,Germany,DEU
471,Djibouti,DJI
472,Dominica,DMA
473,Denmark,DNK
485,Dominican Republic,DOM
486,Algeria,DZA
487,Ecuador,ECU
496,Egypt,EGY
497,Eritrea,ERI
500,Canary Islands,-
507,Spain,ESP
512,Estonia,EST
516,Ethiopia,ETH
525,Fiji,FJI
543,Falkland Islands,FLK
549,Reunion,REU
550,Mayotte,MYT
551,French Guiana,GUF
552,Martinique,MTQ
553,Guadeloupe,GLP
556,France,FRA
559,Faroe Islands,FRO
564,Micronesia,FSM
569,Gabon,GAB
570,UK,GBR
593,Georgia,GEO
594,Guernsey,-
595,Ghana,GHA
596,Guinea,GIN
597,Gambia,GMB
598,Guinea-Bissau,GNB
605,Equatorial Guinea,GNQ
607,Greece,GRC
647,Grenada,GRD
648,Greenland,GRL
665,Guatemala,GTM
666,Guam,GUM
667,Guyana,GUY
671,Heard Island,-
672,Honduras,HND
675,Croatia,HRV
688,Haiti,HTI
691,Hungary,HUN
692,Indonesia,IDN
825,Isle of Man,IMN
826,India,IND
840,Cocos Islands,-
842,Christmas Island,-
843,Chagos Archipelago,-
844,Ireland,IRL
846,Iran,IRN
848,Iraq,IRQ
849,Iceland,ISL
850,Israel,ISR
851,Italy,ITA
859,San Marino,SMR
860,Jamaica,JAM
861,Jersey,-
862,Jordan,JOR
863,Japan,JPN
897,Siachen Glacier,-
898,Kazakhstan,KAZ
902,Kenya,KEN
904,Kyrgyzstan,KGZ
908,Cambodia,KHM
911,Kiribati,KIR
930,Nevis,KNA
931,Saint Kitts,KNA
932,South Korea,KOR
943,Kosovo,XKX
944,Kuwait,KWT
946,Laos,LAO
947,Lebanon,LBN
948,Liberia,LBR
949,Libya,LBY
950,Saint Lucia,LCA
951,Liechtenstein,LIE
952,Sri Lanka,LKA
955,Lesotho,LSO
956,Lithuania,LTU
958,Luxembourg,LUX
959,Latvia,LVA
961,Saint Martin,MAF
962,Morocco,MAR
963,Monaco,MCO
964,Moldova,MDA
965,Madagascar,MDG
968,Maldives,MDV
