Grid_ID,lon,lat
1,-34.25,83.75
2,-33.75,83.75
3,-33.25,83.75
4,-32.75,83.75
5,-31.25,83.75
6,-30.75,83.75
7,-38.75,83.25
8,-38.25,83.25
9,-37.75,83.25
10,-37.25,83.25
11,-36.75,83.25
12,-36.25,83.25
13,-35.75,83.25
14,-35.25,83.25
15,-34.75,83.25
16,-34.25,83.25
17,-33.75,83.25
18,-33.25,83.25
19,-32.75,83.25
20,-32.25,83.25
21,-31.75,83.25
22,-31.25,83.25
23,-30.75,83.25
24,-30.25,83.25
25,-29.75,83.25
26,-29.25,83.25
27,-28.75,83.25
28,-28.25,83.25
29,-27.75,83.25
30,-27.25,83.25
31,-26.75,83.25
32,-26.25,83.25
33,-41.25,83.25
34,-39.25,83.25
35,-44.25,83.25
36,-43.75,83.25
37,-43.25,83.25
38,-42.75,83.25
39,-42.25,83.25
40,-41.75,83.25
41,-40.75,83.25
42,-40.25,83.25
43,-25.75,83.25
44,-25.25,83.25
45,-24.75,83.25
46,-24.25,83.25
47,-76.75,82.75
48,-76.25,82.75
49,-75.75,82.75
50,-75.25,82.75
51,-74.75,82.75
52,-74.25,82.75
53,-73.25,82.75
54,-72.75,82.75
55,-72.25,82.75
56,-71.75,82.75
57,-70.75,82.75
58,-70.25,82.75
59,-69.75,82.75
60,-69.25,82.75
61,-68.75,82.75
62,-68.25,82.75
63,-47.25,82.75
64,-46.75,82.75
65,-46.25,82.75
66,-45.75,82.75
67,-45.25,82.75
68,-44.75,82.75
69,-44.25,82.75
70,-43.75,82.75
71,-43.25,82.75
72,-42.75,82.75
73,-42.25,82.75
74,-41.75,82.75
75,-41.25,82.75
76,-40.75,82.75
77,-40.25,82.75
78,-39.25,82.75
79,-38.75,82.75
80,-38.25,82.75
81,-37.75,82.75
82,-37.25,82.75
83,-36.75,82.75
84,-36.25,82.75
85,-35.75,82.75
86,-35.25,82.75
87,-34.75,82.75
88,-34.25,82.75
89,-33.75,82.75
90,-33.25,82.75
91,-32.75,82.75
92,-32.25,82.75
93,-31.75,82.75
94,-31.25,82.75
95,-30.75,82.75
96,-30.25,82.75
97,-29.75,82.75
98,-29.25,82.75
99,-28.75,82.75
100,-28.25,82.75
101,-27.75,82.75
102,-27.25,82.75
103,-26.75,82.75
104,-26.25,82.75
105,-25.75,82.75
106,-25.25,82.75
107,-24.75,82.75
108,-79.75,82.75
109,-79.25,82.75
110,-78.75,82.75
111,-78.25,82.75
112,-77.75,82.75
113,-77.25,82.75
114,-73.75,82.75
115,-71.25,82.75
116,-67.75,82.75
117,-66.25,82.75
118,-65.75,82.75
119,-65.25,82.75
120,-64.75,82.75
121,-64.25,82.75
122,-63.75,82.75
123,-39.75,82.75
124,-24.25,82.75
125,-23.75,82.75
126,-23.25,82.75
127,-22.75,82.75
128,-22.25,82.75
129,-21.75,82.75
130,-21.25,82.75
131,-80.25,82.75
132,-67.25,82.75
133,-66.75,82.75
134,-63.25,82.75
135,-20.75,82.75
136,-20.25,82.75
137,-82.25,82.25
138,-81.75,82.25
139,-81.25,82.25
140,-80.75,82.25
141,-80.25,82.25
142,-79.75,82.25
143,-79.25,82.25
144,-78.75,82.25
145,-78.25,82.25
146,-77.75,82.25
147,-77.25,82.25
148,-76.75,82.25
149,-76.25,82.25
150,-75.75,82.25
151,-75.25,82.25
152,-74.75,82.25
153,-74.25,82.25
154,-73.75,82.25
155,-73.25,82.25
156,-72.75,82.25
157,-72.25,82.25
158,-71.75,82.25
159,-71.25,82.25
160,-70.75,82.25
161,-70.25,82.25
162,-69.75,82.25
163,-69.25,82.25
164,-68.75,82.25
165,-68.25,82.25
166,-67.75,82.25
167,-67.25,82.25
168,-66.75,82.25
169,-66.25,82.25
170,-65.75,82.25
171,-65.25,82.25
172,-64.75,82.25
173,-64.25,82.25
174,-63.75,82.25
175,-63.25,82.25
176,-62.75,82.25
177,-62.25,82.25
178,-61.75,82.25
179,-51.25,82.25
180,-47.75,82.25
181,-47.25,82.25
182,-46.75,82.25
183,-46.25,82.25
184,-45.75,82.25
185,-44.75,82.25
186,-44.25,82.25
187,-43.75,82.25
188,-43.25,82.25
189,-42.75,82.25
190,-41.75,82.25
191,-41.25,82.25
192,-40.75,82.25
193,-40.25,82.25
194,-39.75,82.25
195,-39.25,82.25
196,-38.75,82.25
197,-38.25,82.25
198,-37.75,82.25
199,-37.25,82.25
200,-36.75,82.25
201,-36.25,82.25
202,-35.75,82.25
203,-35.25,82.25
204,-34.75,82.25
205,-34.25,82.25
206,-33.75,82.25
207,-33.25,82.25
208,-32.75,82.25
209,-32.25,82.25
210,-31.75,82.25
211,-31.25,82.25
212,-30.75,82.25
213,-30.25,82.25
214,-29.75,82.25
215,-29.25,82.25
216,-28.75,82.25
217,-28.25,82.25
218,-27.75,82.25
219,-27.25,82.25
220,-26.75,82.25
221,-26.25,82.25
222,-25.75,82.25
223,-25.25,82.25
224,-24.75,82.25
225,-24.25,82.25
226,-23.75,82.25
227,-23.25,82.25
228,-22.75,82.25
229,-22.25,82.25
230,-21.75,82.25
231,-21.25,82.25
232,-85.25,82.25
233,-84.25,82.25
234,-83.75,82.25
235,-61.25,82.25
236,-55.75,82.25
237,-55.25,82.25
238,-50.75,82.25
239,-50.25,82.25
240,-49.75,82.25
241,-45.25,82.25
242,-42.25,82.25
243,-84.75,82.25
244,-83.25,82.25
245,-82.75,82.25
246,-58.75,82.25
247,-58.25,82.25
248,-57.75,82.25
249,-57.25,82.25
250,-56.75,82.25
251,-56.25,82.25
252,-54.75,82.25
253,-53.75,82.25
254,-53.25,82.25
255,-52.75,82.25
256,-49.25,82.25
257,-48.75,82.25
258,-89.25,81.75
259,-88.75,81.75
260,-88.25,81.75
261,-87.75,81.75
262,-87.25,81.75
263,-86.75,81.75
264,-86.25,81.75
265,-85.75,81.75
266,-85.25,81.75
267,-84.75,81.75
268,-84.25,81.75
269,-83.75,81.75
270,-83.25,81.75
271,-82.75,81.75
272,-82.25,81.75
273,-81.75,81.75
274,-81.25,81.75
275,-80.75,81.75
276,-80.25,81.75
277,-79.25,81.75
278,-78.75,81.75
279,-78.25,81.75
280,-77.75,81.75
281,-77.25,81.75
282,-76.75,81.75
283,-76.25,81.75
284,-75.75,81.75
285,-75.25,81.75
286,-74.75,81.75
287,-74.25,81.75
288,-73.75,81.75
