"SSBS","LandUse"
"AD1_2005__Blanche 1  1","Perennial"
"AD1_2005__Blanche 1  2","Perennial"
"AD1_2005__Blanche 1  3","Perennial"
"AD1_2005__Blanche 1  4","Perennial"
"AD1_2005__Blanche 1  5","Perennial"
"AD1_2005__Blanche 1  6","Perennial"
"AD1_2005__Blanche 1  7","Perennial"
"AD1_2005__Blanche 1  8","Perennial"
"AD1_2005__Blanche 1  9","Perennial"
"AD1_2006__Blanche 1  1","Perennial"
"AD1_2006__Blanche 1  2","Perennial"
"AD1_2006__Blanche 1  3","Perennial"
"AD1_2006__Blanche 1  4","Perennial"
"AD1_2006__Blanche 1  5","Perennial"
"AD1_2006__Blanche 1  6","Perennial"
"AD1_2006__Blanche 2  1","Perennial"
"AD1_2006__Blanche 2  2","Perennial"
"AD1_2006__Blanche 2  3","Perennial"
"AD1_2006__Blanche 2  4","Perennial"
"AD1_2006__Blanche 2  5","Perennial"
"AD1_2009__Vergara 1  1","Perennial"
"AD1_2009__Vergara 1  2","Perennial"
"AD1_2009__Vergara 1  3","Perennial"
"AD1_2009__Vergara 1  4","Perennial"
"AD1_2009__Vergara 1  5","Perennial"
"AD1_2009__Vergara 1  6","Perennial"
"AD1_2009__Vergara 1  7","Perennial"
"AD1_2009__Vergara 1  8","Perennial"
"AD1_2009__Vergara 1  9","Perennial"
"AD1_2009__Vergara 1  10","Perennial"
"AD1_2009__Vergara 1  11","Perennial"
"AD1_2009__Vergara 1  12","Perennial"
"AD1_2009__Vergara 1  13","Perennial"
"AD1_2009__Vergara 1  14","Perennial"
"AD1_2009__Vergara 1  15","Perennial"
"AD1_2009__Vergara 1  16","Perennial"
"AD1_2012__Fierro 1  1","Perennial"
"AD1_2012__Yamaura 1  1","Timber"
"AD1_2012__Yamaura 1  3","Timber"
"AD1_2012__Yamaura 2  1","Timber"
"AD1_2012__Yamaura 2  3","Timber"
"AD1_2012__Yamaura 3  1","Timber"
"AD1_2012__Yamaura 3  3","Timber"
"AR1_2005__Davis 1  6","Perennial"
"AR1_2005__Davis 1  10","Perennial"
"AR1_2005__Davis 1  11","Perennial"
"AR1_2005__Davis 1  12","Perennial"
"AR1_2010__Kone 1  1","Perennial"
"AR1_2010__Kone 1  2","Perennial"
"AR1_2010__Kone 1  3","Perennial"
"AR1_2010__Sutrisno 1  5","Secondary vegetation and Timber Light and Intense"
"AR1_2011__Slade 1  1","Secondary vegetation and Timber Light and Intense"
"AR1_2011__Slade 1  2","Secondary vegetation and Timber Light and Intense"
"AR1_2011__Slade 1  3","Secondary vegetation and Timber Light and Intense"
"AR1_2011__Slade 1  6","Secondary vegetation and Timber Light and Intense"
"CC1_2014__Rader 1  7","Perennial"
"CC1_2014__Rader 1  8","Perennial"
"CC1_2014__Rader 1  9","Perennial"
"CC1_2014__Rader 1  10","Perennial"
"CM1_2008__LoManHung 1  1","Timber"
"CM1_2008__LoManHung 1  2","Timber"
"CM1_2008__LoManHung 1  3","Timber"
"CM1_2008__LoManHung 1  4","Timber"
"CM1_2008__LoManHung 1  6","Timber"
"CM1_2009__Roembke 1  46","Perennial"
"CM1_2009__Roembke 1  47","Perennial"
"CM1_2009__Roembke 1  48","Perennial"
"CM1_2009__Roembke 1  49","Perennial"
"CM1_2009__Roembke 1  50","Perennial"
"CM1_2009__Roembke 1  51","Perennial"
"DG1_2013__Zou 1  2","Perennial"
"DI1_2010__Fayle 1 OP 1","Perennial"
"DI1_2010__Fayle 1 OP 2","Perennial"
"DI1_2010__Fayle 1 OP 3","Perennial"
"DI1_2010__Fayle 1 OP 4","Perennial"
"DI1_2010__Fayle 1 OP 5","Perennial"
"DI1_2010__Fayle 2 OP 1","Perennial"
"DI1_2010__Fayle 2 OP 2","Perennial"
"DI1_2010__Fayle 2 OP 3","Perennial"
"DI1_2010__Fayle 2 OP 4","Perennial"
"DI1_2010__Fayle 2 OP 5","Perennial"
"DI1_2010__Fayle 3 OP 1","Perennial"
"DI1_2010__Fayle 3 OP 2","Perennial"
"DI1_2010__Fayle 3 OP 3","Perennial"
"DI1_2010__Fayle 3 OP 4","Perennial"
"DI1_2010__Fayle 3 OP 5","Perennial"
"DI1_2010__Milder 1  31","Perennial"
"DI1_2010__Milder 1  32","Perennial"
"DI1_2010__Milder 1  33","Perennial"
"DI1_2010__Milder 1  34","Perennial"
"DI1_2010__Milder 1  35","Perennial"
"DI1_2010__Milder 1  36","Perennial"
"DI1_2010__Milder 1  37","Perennial"
"DI1_2010__Milder 1  38","Perennial"
"DI1_2010__Milder 1  39","Perennial"
"DI1_2010__Milder 1  40","Perennial"
"DI1_2010__Milder 1  80","Perennial"
"DI1_2010__Milder 1  81","Perennial"
"DI1_2010__Milder 1  82","Perennial"
"DI1_2010__Milder 1  83","Perennial"
"DI1_2010__Milder 1  84","Perennial"
"DI1_2010__Milder 1  85","Perennial"
"DI1_2010__Milder 1  86","Perennial"
"DI1_2010__Milder 1  87","Perennial"
"DI1_2010__Milder 1  88","Perennial"
"DI1_2010__Milder 1  89","Perennial"
"DI1_2010__Milder 2  31","Perennial"
"DI1_2010__Milder 2  32","Perennial"
